No.,Company,Sector,Valuation ($B),Entry,Location,Select Investors
39,Infra.Market,Marketplace - Construction Materials,1.0,2021,Thane,"Accel India, Nexus Venture Partners, Tiger Global, Evolvence India"
38,Innovaccer,Data Analytics - Healthcare,1.3,2021,Noida,"WestBridge, Lightspeed Ventures, M12 (Microsoft), Tiger Global"
37,Digit,Insurance - General,1.9,2021,Bangalore,"Fairfax Holdings, A91 Partners, Faering Capital, TVS Capital"
36,Glance InMobi,Content - News,1.0,2020,Bangalore,"Mithril Capital, Google"
35,Dailyhunt,Content - News,1.0,2020,Bangalore,"Matrix Partners India, Omidyar Network, Sequoia Capital India, Falcon Edge Capital"
34,Zenoti,SaaS - Salon & Spa Management,1.0,2020,Hyderabad/Bellevue,"Accel India, Norwest, Tiger Global, Steadview Capital, Advent International"
33,Cars24,Auto Sales (Used Cars),1.0,2020,Gurgaon,"Asia Venture Group, Apoletto, Unbound, DST Global, Sequoia Capital India"
32,RazorPay,Payments (B2B),1.0,2020,Bangalore,"Matrix Partners India, Tiger Global, Sequoia Capital India, DST Global"
31,Unacademy,Edtech,2.0,2020,Bangalore,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India, SAIF, General Atlantic, SoftBank"
30,Postman,SaaS - API Development & Testing,2.0,2020,Bangalore/San Francisco,"Nexus Ventures, Charles River Ventures, Insight Venture Partners"
29,Nykaa,E-Commerce,1.2,2020,Mumbai,"Techpro Ventures, TVS Capital, Sharrp Ventures, TPG Growth"
28,Pine Labs,Payments,2.0,2020,Noida,"Sequoia Capital India, New Atlantic Ventures, Altimeter Capital, Temasek, Mastercard"
27,Lenskart,Eyewear,1.5,2019,Bangalore,"SoftBank Corp, Kedaara Capital, TPG, Chiratae Ventures, TR Capital"
26,Ola Electric,Mobility,1.1,2019,Bangalore,"SoftBank Corp, Tiger Global, Matrix Partners"
25,Citius Tech,IT - Healthcare,1.1,2019,Mumbai/Princeton,"General Atlantic, Baring Asia"
24,Icertis,Contract Management,2.8,2019,Pune/Bellevue,"Eight Roads, B Capital, PremjiInvest"
23,Druva Software,Data Management,1.0,2019,Pune/Sunnyvale,"WestBridge, Nexus Ventures, Sequoia Capital"
22,Rivigo,Trucking Services,1.1,2019,Gurgaon,"SAIF, Warburg Pincus"
21,BigBasket,Groceries,1.2,2019,Bangalore,"Ascent Capital, Helion Ventures, Bessemer, IFC, Alibaba"
20,Dream11,Gaming,5.0,2019,Mumbai,"Kalaari Capital, Tencent, Multiples PE, Steadview, Falcon Edge Capital"
19,Delhivery,Logistics Services,1.6,2019,Gurgaon,"Nexus Ventures, Multiples PE, Tiger Global, Carlyle, SoftBank Corp, Fosun Group"
18,BillDesk,Payments (B2B),1.6,2018,Mumbai,"SIDBI VC, TA Associates, General Atlantic"
17,Freshworks,SaaS - CRM,3.5,2018,Chennai/San Mateo,"Accel, Tiger Global, Google, Sequoia Capital"
16,Udaan,E-Commerce (B2B),3.1,2018,Bangalore,"Lightspeed Ventures, DST Global, Tencent"
15,Oyo Rooms,Budget Hotels,8.4,2018,Gurgaon,"Lightspeed Ventures, Sequoia Capital, SoftBank"
14,PolicyBazaar,Insurance Tech,2.4,2018,Gurgaon,"Info Edge, Intel, Inventus Capital, Tiger Global, SoftBank, Tencent"
13,Swiggy,Foodtech,3.6,2018,Bangalore,"Accel, SAIF, Norwest, Naspers, Tencent"
12,Paytm Mall,E-Commerce,3.0,2018,Noida,"SAIF, Alibaba, SoftBank, eBay"
11,Byjus Classes,Edtech,11.7,2018,Bangalore,"Aarin Capital, Sequoia Capital, Lightspeed Ventures, Tencent, General Atlantic, Tiger Global"
10,Shopclues*,E-Commerce,1.1,2016,Gurgaon,"Nexus Ventures, Helion Ventures, Beenos, Tiger Global, Others"
9,Hike,Messaging,1.4,2016,Delhi,"Tiger Global, Tencent, Foxconn"
8,Zomato,Foodtech,5.4,2015,Gurgaon,"Info Edge, Sequoia Capital, Vy Capital, Alibaba"
7,Quikr*,Classifieds,1.6,2015,Bangalore,"Matrix Partners, Omidyar Network, Norwest, Kinnevik"
6,Paytm,Payments,16.0,2015,Noida,"Saama Capital, SAIF, Alibaba, Berkshire Hathway"
5,Ola,Ride Hailing,6.7,2015,Bangalore,"Tiger Global, Matrix Partners, Steadview, SoftBank, Tencent"
4,Snapdeal*,E-Commerce,6.5,2014,Delhi,"Kalaari Capital, Nexus Ventures, Bessemer, SoftBank, Alibaba"
3,Flipkart*,E-Commerce,23.0,2012,Bangalore,"Accel, Tiger Global, Naspers, SoftBank, Tencent"
2,Mu Sigma,Analytics,1.5,2013,Bangalore,"Accel, Sequoia Capital, General Atlantic"
1,InMobi,Mobile Ads,1.0,2011,Bangalore,"KPCB, Sherpalo Ventures, SoftBank"
